service,endpoint,type,layer,count,mean_latency,variance,stddev,cov
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/users/login","UNKNOWN_TYPE","UNKNOWN_LAYER",1000,3.94,7276.3824,85.301714,21.650181
"dHMtaW5zaWRlLXBheW1lbnQtc2VydmljZQ==.1","POST:/api/v1/inside_pay_service/pay","UNKNOWN_TYPE","UNKNOWN_LAYER",1000,18.328,143348.852416,378.614385,20.657703
"dHMtb3JkZXItc2VydmljZQ==.1","POST:/api/v1/orderservice/order","UNKNOWN_TYPE","UNKNOWN_LAYER",1000,36.412,144137.760256,379.654791,10.426639
"dHMtdHJhdmVsLXNlcnZpY2U=.1","GET:/api/v1/travelservice/trips/{tripId}","UNKNOWN_TYPE","UNKNOWN_LAYER",1000,6.595,4397.894975,66.316627,10.055592
"dHMtdHJhdmVsMi1zZXJ2aWNl.1","Mysql/JDBI/Connection/close","UNKNOWN_TYPE","UNKNOWN_LAYER",420,0.62619,19.324552,4.39597,7.02018
"dHMtY29uZmlnLXNlcnZpY2U=.1","Mysql/JDBI/Connection/close","UNKNOWN_TYPE","UNKNOWN_LAYER",420,0.702381,23.980471,4.896986,6.97198
"dHMtY29uc2lnbi1wcmljZS1zZXJ2aWNl.1","Mysql/JDBI/Connection/close","UNKNOWN_TYPE","UNKNOWN_LAYER",420,0.578571,11.762874,3.429705,5.927885
"dHMtb3JkZXItb3RoZXItc2VydmljZQ==.1","Mysql/JDBI/Connection/close","UNKNOWN_TYPE","UNKNOWN_LAYER",420,0.507143,2.935663,1.713378,3.378491
"dHMtcHJpY2Utc2VydmljZQ==.1","Mysql/JDBI/Connection/close","UNKNOWN_TYPE","UNKNOWN_LAYER",420,0.471429,1.268231,1.126158,2.388819
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/orderservice/order","UNKNOWN_TYPE","UNKNOWN_LAYER",1000,1.327,7.944071,2.818523,2.123981
"dHMtY29uc2lnbi1zZXJ2aWNl.1","Mysql/JDBI/Connection/close","UNKNOWN_TYPE","UNKNOWN_LAYER",420,0.483333,1.016389,1.008161,2.085851
